고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
150715,3,309,지축,DAY,UP,0,3012,5:59:00,5:59:30,약수,대화
150716,3,309,지축,DAY,UP,0,3016,6:16:30,6:17:00,도곡,대화
150717,3,309,지축,DAY,UP,0,3022,6:32:00,6:32:30,수서,대화
150718,3,309,지축,DAY,UP,0,3024K,6:38:30,6:39:00,오금,대화
150719,3,309,지축,DAY,UP,0,3026,6:45:30,6:46:00,오금,대화
150720,3,309,지축,DAY,UP,0,3032,6:57:00,6:57:30,오금,대화
150721,3,309,지축,DAY,UP,0,3040K,7:08:30,7:09:00,오금,대화
150722,3,309,지축,DAY,UP,0,3046,7:17:30,7:18:00,오금,대화
150723,3,309,지축,DAY,UP,0,3050,7:28:00,7:28:30,수서,대화
150724,3,309,지축,DAY,UP,0,3052,7:32:30,7:33:00,오금,대화
150725,3,309,지축,DAY,UP,0,3056,7:42:30,7:43:00,오금,대화
150726,3,309,지축,DAY,UP,0,3058,7:47:30,7:48:00,수서,대화
150727,3,309,지축,DAY,UP,0,3060,7:52:30,7:53:00,오금,대화
150728,3,309,지축,DAY,UP,0,3062,7:56:30,7:57:00,수서,대화
150729,3,309,지축,DAY,UP,0,3064,8:00:30,8:01:00,오금,대화
150730,3,309,지축,DAY,UP,0,3068K,8:08:30,8:09:00,오금,대화
150731,3,309,지축,DAY,UP,0,3072,8:17:30,8:18:00,오금,대화
150732,3,309,지축,DAY,UP,0,3076K,8:25:30,8:26:00,오금,대화
150733,3,309,지축,DAY,UP,0,3078K,8:30:30,8:31:00,오금,대화
150734,3,309,지축,DAY,UP,0,3080K,8:34:30,8:35:00,오금,대화
150735,3,309,지축,DAY,UP,0,3084,8:42:00,8:42:30,오금,대화
150736,3,309,지축,DAY,UP,0,3088,8:49:30,8:50:00,오금,대화
150737,3,309,지축,DAY,UP,0,3092,8:57:00,8:57:30,오금,대화
150738,3,309,지축,DAY,UP,0,3098,9:07:30,9:08:00,오금,대화
150739,3,309,지축,DAY,UP,0,3102,9:14:30,9:15:00,수서,대화
150740,3,309,지축,DAY,UP,0,3106K,9:22:30,9:23:00,오금,대화
150741,3,309,지축,DAY,UP,0,3108,9:26:30,9:27:00,오금,대화
150742,3,309,지축,DAY,UP,0,3112,9:34:30,9:35:00,오금,대화
150743,3,309,지축,DAY,UP,0,3116,9:44:00,9:44:30,오금,대화
150744,3,309,지축,DAY,UP,0,3122,9:55:30,9:56:00,오금,대화
150745,3,309,지축,DAY,UP,0,3124K,10:00:30,10:01:00,오금,대화
150746,3,309,지축,DAY,UP,0,3126K,10:05:30,10:06:00,오금,대화
150747,3,309,지축,DAY,UP,0,3130K,10:17:00,10:17:30,오금,대화
150748,3,309,지축,DAY,UP,0,3132,10:21:30,10:22:00,오금,대화
150749,3,309,지축,DAY,UP,0,3136,10:28:30,10:29:00,오금,대화
150750,3,309,지축,DAY,UP,0,3140,10:35:30,10:36:00,오금,대화
150751,3,309,지축,DAY,UP,0,3144K,10:46:30,10:47:00,오금,대화
150752,3,309,지축,DAY,UP,0,3150,11:00:30,11:01:00,오금,대화
150753,3,309,지축,DAY,UP,0,3152,11:06:00,11:06:30,오금,대화
150754,3,309,지축,DAY,UP,0,3156,11:17:30,11:18:00,오금,대화
150755,3,309,지축,DAY,UP,0,3160,11:29:30,11:30:00,오금,대화
150756,3,309,지축,DAY,UP,0,3162,11:36:00,11:36:30,오금,대화
150757,3,309,지축,DAY,UP,0,3164,11:42:30,11:43:00,오금,대화
150758,3,309,지축,DAY,UP,0,3168K,11:56:30,11:57:00,오금,대화
150759,3,309,지축,DAY,UP,0,3172K,12:10:30,12:11:00,오금,대화
150760,3,309,지축,DAY,UP,0,3174,12:17:00,12:17:30,오금,대화
150761,3,309,지축,DAY,UP,0,3176,12:23:30,12:24:00,오금,대화
150762,3,309,지축,DAY,UP,0,3180,12:38:30,12:39:00,오금,대화
150763,3,309,지축,DAY,UP,0,3182,12:46:00,12:46:30,오금,대화
150764,3,309,지축,DAY,UP,0,3186K,12:55:30,12:56:00,오금,대화
150765,3,309,지축,DAY,UP,0,3190,13:06:00,13:06:30,오금,대화
150766,3,309,지축,DAY,UP,0,3192,13:14:30,13:15:00,오금,대화
150767,3,309,지축,DAY,UP,0,3194,13:24:00,13:24:30,오금,대화
150768,3,309,지축,DAY,UP,0,3198K,13:31:30,13:32:00,오금,대화
150769,3,309,지축,DAY,UP,0,3202K,13:47:30,13:48:00,오금,대화
150770,3,309,지축,DAY,UP,0,3204,13:54:30,13:55:00,오금,대화
150771,3,309,지축,DAY,UP,0,3206,14:01:00,14:01:30,오금,대화
150772,3,309,지축,DAY,UP,0,3210,14:14:00,14:14:30,오금,대화
150773,3,309,지축,DAY,UP,0,3212,14:20:30,14:21:00,오금,대화
150774,3,309,지축,DAY,UP,0,3216,14:33:30,14:34:00,오금,대화
150775,3,309,지축,DAY,UP,0,3220,14:46:30,14:47:00,오금,대화
150776,3,309,지축,DAY,UP,0,3222,14:53:00,14:53:30,오금,대화
150777,3,309,지축,DAY,UP,0,3224,15:00:30,15:01:00,오금,대화
150778,3,309,지축,DAY,UP,0,3228,15:15:30,15:16:00,오금,대화
150779,3,309,지축,DAY,UP,0,3232,15:24:30,15:25:00,오금,대화
150780,3,309,지축,DAY,UP,0,3234K,15:33:30,15:34:00,오금,대화
150781,3,309,지축,DAY,UP,0,3238K,15:42:30,15:43:00,오금,대화
150782,3,309,지축,DAY,UP,0,3240,15:51:30,15:52:00,오금,대화
150783,3,309,지축,DAY,UP,0,3242,16:00:00,16:00:30,오금,대화
150784,3,309,지축,DAY,UP,0,3248,16:08:00,16:08:30,오금,대화
150785,3,309,지축,DAY,UP,0,3250,16:15:30,16:16:00,오금,대화
150786,3,309,지축,DAY,UP,0,3254K,16:30:00,16:30:30,오금,대화
150787,3,309,지축,DAY,UP,0,3256,16:35:30,16:36:00,오금,대화
150788,3,309,지축,DAY,UP,0,3258,16:41:30,16:42:00,오금,대화
150789,3,309,지축,DAY,UP,0,3262K,16:53:30,16:54:00,오금,대화
150790,3,309,지축,DAY,UP,0,3266K,17:05:30,17:06:00,오금,대화
150791,3,309,지축,DAY,UP,0,3268K,17:11:30,17:12:00,오금,대화
150792,3,309,지축,DAY,UP,0,3270K,17:17:30,17:18:00,오금,대화
150793,3,309,지축,DAY,UP,0,3272,17:25:30,17:26:00,수서,대화
150794,3,309,지축,DAY,UP,0,3276,17:33:30,17:34:00,오금,대화
150795,3,309,지축,DAY,UP,0,3278,17:41:30,17:42:00,오금,대화
150796,3,309,지축,DAY,UP,0,3280,17:49:30,17:50:00,오금,대화
150797,3,309,지축,DAY,UP,0,3284,17:58:30,17:59:00,오금,대화
150798,3,309,지축,DAY,UP,0,3288,18:11:30,18:12:00,오금,대화
150799,3,309,지축,DAY,UP,0,3294,18:22:30,18:23:00,수서,대화
150800,3,309,지축,DAY,UP,0,3298,18:31:30,18:32:00,오금,대화
150801,3,309,지축,DAY,UP,0,3302,18:41:00,18:41:30,오금,대화
150802,3,309,지축,DAY,UP,0,3306,18:51:00,18:51:30,오금,대화
150803,3,309,지축,DAY,UP,0,3308,18:55:30,18:56:00,오금,대화
150804,3,309,지축,DAY,UP,0,3312K,19:04:30,19:05:00,오금,대화
150805,3,309,지축,DAY,UP,0,3316,19:13:30,19:14:00,오금,대화
150806,3,309,지축,DAY,UP,0,3320,19:21:30,19:22:00,수서,대화
150807,3,309,지축,DAY,UP,0,3324,19:30:00,19:30:30,오금,대화
150808,3,309,지축,DAY,UP,0,3328,19:38:30,19:39:00,오금,대화
150809,3,309,지축,DAY,UP,0,3332,19:48:30,19:49:00,오금,대화
150810,3,309,지축,DAY,UP,0,3336,19:58:30,19:59:00,오금,대화
150811,3,309,지축,DAY,UP,0,3340K,20:08:30,20:09:00,오금,대화
150812,3,309,지축,DAY,UP,0,3342,20:13:30,20:14:00,오금,대화
150813,3,309,지축,DAY,UP,0,3344K,20:19:30,20:20:00,오금,대화
150814,3,309,지축,DAY,UP,0,3348K,20:29:30,20:30:00,오금,대화
150815,3,309,지축,DAY,UP,0,3352K,20:40:30,20:41:00,오금,대화
150816,3,309,지축,DAY,UP,0,3354K,20:46:30,20:47:00,오금,대화
150817,3,309,지축,DAY,UP,0,3358,20:57:30,20:58:00,오금,대화
150818,3,309,지축,DAY,UP,0,3362,21:08:30,21:09:00,오금,대화
150819,3,309,지축,DAY,UP,0,3366,21:18:30,21:19:00,오금,대화
150820,3,309,지축,DAY,UP,0,3370,21:28:30,21:29:00,오금,대화
150821,3,309,지축,DAY,UP,0,3374K,21:39:30,21:40:00,오금,대화
150822,3,309,지축,DAY,UP,0,3376K,21:45:30,21:46:00,오금,대화
150823,3,309,지축,DAY,UP,0,3378,21:51:30,21:52:00,오금,대화
150824,3,309,지축,DAY,UP,0,3382,22:02:30,22:03:00,오금,대화
150825,3,309,지축,DAY,UP,0,3384K,22:08:30,22:09:00,오금,대화
150826,3,309,지축,DAY,UP,0,3388,22:18:30,22:19:00,오금,대화
150827,3,309,지축,DAY,UP,0,3392,22:29:30,22:30:00,오금,대화
150828,3,309,지축,DAY,UP,0,3396K,22:43:30,22:44:00,오금,대화
150829,3,309,지축,DAY,UP,0,3398,22:50:30,22:51:00,오금,대화
150830,3,309,지축,DAY,UP,0,3402,23:04:30,23:05:00,오금,대화
150831,3,309,지축,DAY,UP,0,3406,23:13:30,23:14:00,오금,대화
150832,3,309,지축,DAY,UP,0,3410,23:29:30,23:30:00,오금,대화
150833,3,309,지축,DAY,UP,0,3414K,23:45:30,23:46:00,오금,대화
150834,3,309,지축,DAY,UP,0,3422K,24:12:30,24:13:00,오금,대화
150591,3,309,지축,DAY,DOWN,0,3009K,5:43:30,5:44:00,대화,오금
150592,3,309,지축,DAY,DOWN,0,3013K,5:59:00,5:59:30,대화,오금
150593,3,309,지축,DAY,DOWN,0,3017K,6:11:30,6:12:00,대화,오금
150594,3,309,지축,DAY,DOWN,0,3019,6:18:00,6:18:30,대화,오금
150595,3,309,지축,DAY,DOWN,0,3023,6:29:30,6:30:00,대화,오금
150596,3,309,지축,DAY,DOWN,0,3025K,6:35:30,6:36:00,대화,오금
150597,3,309,지축,DAY,DOWN,0,3029,6:47:00,6:47:30,대화,오금
150598,3,309,지축,DAY,DOWN,0,3033K,6:57:00,6:57:30,대화,오금
150599,3,309,지축,DAY,DOWN,0,3037,7:05:30,7:06:00,대화,오금
150600,3,309,지축,DAY,DOWN,0,3041K,7:13:30,7:14:00,대화,오금
150601,3,309,지축,DAY,DOWN,0,3047,7:23:00,7:23:30,대화,수서
150602,3,309,지축,DAY,DOWN,0,3051,7:30:30,7:31:00,대화,오금
150603,3,309,지축,DAY,DOWN,0,3053,7:34:00,7:34:30,대화,수서
150604,3,309,지축,DAY,DOWN,0,3057K,7:42:00,7:42:30,대화,오금
150605,3,309,지축,DAY,DOWN,0,3061,7:49:00,7:49:30,대화,수서
150606,3,309,지축,DAY,DOWN,0,3065,7:57:30,7:58:00,대화,오금
150607,3,309,지축,DAY,DOWN,0,3069,8:03:30,8:04:00,대화,오금
150608,3,309,지축,DAY,DOWN,0,3075,8:12:00,8:12:30,대화,오금
150609,3,309,지축,DAY,DOWN,0,3079K,8:20:00,8:20:30,대화,오금
