고유번호,호선,역사코드,역사명,주중주말,방향,급행여부,열차코드,열차도착시간,열차출발시간,출발역,도착역
22908,공항철도,,인천공항1터미널,END,DOWN,0,A1009,,09:40:00,서울역,인천공항2터미널
22909,공항철도,,인천공항2터미널,DAY,DOWN,0,A1010,,08:10:00,인천공항2터미널,서울역
22910,공항철도,,인천공항1터미널,DAY,DOWN,0,A1010,,08:18:00,인천공항2터미널,서울역
22911,공항철도,,인천공항2터미널,SAT,DOWN,0,A1010,,08:10:00,인천공항2터미널,서울역
22912,공항철도,,인천공항2터미널,END,DOWN,0,A1010,,08:10:00,인천공항2터미널,서울역
22913,공항철도,,인천공항1터미널,SAT,DOWN,0,A1010,,08:18:00,인천공항2터미널,서울역
22914,공항철도,,인천공항1터미널,END,DOWN,0,A1010,,08:18:00,인천공항2터미널,서울역
22915,공항철도,,서울역,DAY,DOWN,0,A1011,,09:45:00,서울역,인천공항2터미널
22916,공항철도,,인천공항1터미널,DAY,DOWN,0,A1011,,10:30:00,서울역,인천공항2터미널
22917,공항철도,,서울역,SAT,DOWN,0,A1011,,09:45:00,서울역,인천공항2터미널
22918,공항철도,,서울역,END,DOWN,0,A1011,,09:45:00,서울역,인천공항2터미널
22919,공항철도,,인천공항1터미널,SAT,DOWN,0,A1011,,10:30:00,서울역,인천공항2터미널
22920,공항철도,,인천공항1터미널,END,DOWN,0,A1011,,10:30:00,서울역,인천공항2터미널
22921,공항철도,,인천공항2터미널,DAY,DOWN,0,A1012,,08:58:00,인천공항2터미널,서울역
22922,공항철도,,인천공항1터미널,DAY,DOWN,0,A1012,,09:06:00,인천공항2터미널,서울역
22923,공항철도,,인천공항2터미널,SAT,DOWN,0,A1012,,08:58:00,인천공항2터미널,서울역
22924,공항철도,,인천공항2터미널,END,DOWN,0,A1012,,08:58:00,인천공항2터미널,서울역
22925,공항철도,,인천공항1터미널,SAT,DOWN,0,A1012,,09:06:00,인천공항2터미널,서울역
22926,공항철도,,인천공항1터미널,END,DOWN,0,A1012,,09:06:00,인천공항2터미널,서울역
22927,공항철도,,서울역,DAY,DOWN,0,A1013,,10:20:00,서울역,인천공항2터미널
22928,공항철도,,인천공항1터미널,DAY,DOWN,0,A1013,,11:05:00,서울역,인천공항2터미널
22929,공항철도,,서울역,SAT,DOWN,0,A1013,,10:20:00,서울역,인천공항2터미널
22930,공항철도,,서울역,END,DOWN,0,A1013,,10:20:00,서울역,인천공항2터미널
